"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1871065,-0.00533555555556,-0.0579818209877
0.1,0.186935,-0.00652652777778,-0.0997029012346
0.15,0.186935,-0.016807,-0.111300324074
0.2,0.1843625,-0.0123861111111,-0.174035447531
0.25,0.187621,-0.0373488888889,-0.165428688272
0.3,0.1799035,-0.0483058333333,0.157970555556
0.35,0.179732,-0.00838444444444,0.27095941358
0.4,0.181447,-0.00628833333333,0.194260802469
0.45,0.179732,-0.0114333333333,0.639155092593
0.5,0.179046,0.0194366666667,1.9509183642
0.55,0.1788745,0.136533055556,4.11695277778
0.6,0.183505,0.435895833333,5.98212114198
0.65,0.2162615,0.845018611111,5.68983009259
0.7,0.277487,1.08673833333,3.7688712963
0.75,0.3325385,1.17810972222,2.4694941358
0.8,0.3932495,1.27881833333,2.20075787037
0.85,0.459277,1.39391388889,2.18757777778
0.9,0.5331935,1.50557944444,2.08732438272
0.95,0.6103685,1.60762194444,1.80207330247
1,0.693546,1.69499166667,1.35373842593
1.05,0.7818685,1.76340111111,0.392438580247
1.1,0.876022,1.70937861111,-0.733003703704
1.15,0.9382765,1.81723305556,-4.29512222222
1.2,1.0813075,1.45365305556,-10.374162037
1.25,1.1162935,0.527743611111,-11.4871123457
1.3,1.113721,-0.0277258333333,-6.51395111111
1.35,1.083194,-0.0933722222222,-1.46571628086
1.4,1.0994865,0.0968022222222,1.83801419753
