"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.189679,-0.0508783333333,76.8150723148
0.1,0.1819615,3.28236708333,77.9219936574
0.15,0.1994545,6.4962485,76.0276173611
0.2,0.1840195,19.4420975,-41.0633618673
0.25,4.0849585,2.19148416667,-153.472973349
0.3,0.180418,-12.8133366667,3.47487583333
0.35,0.220549,13.0650605556,1.33399475309
0.4,4.095763,-2.37651361111,-155.576754321
0.45,0.1799035,-19.6553291667,-39.1124276235
0.5,0.1781885,-6.54767944444,84.1752171296
0.55,0.179732,-2.16013777778,66.8170351852
0.6,0.181447,0.000381111111111,32.6847770062
0.65,0.1792175,-0.00695527777778,7.73126234568
0.7,0.1802465,0.0164830555556,2.90808950617
0.75,0.179046,0.106139444444,3.90072515432
0.8,0.1785315,0.424843611111,5.60561512346
0.85,0.2196915,0.783183333333,5.10545972222
0.9,0.266511,0.976025555556,3.66978240741
0.95,0.319333,1.11112944444,2.77263626543
1,0.3773,1.23070305556,2.36775864198
1.05,0.442813,1.34265444444,2.19138888889
1.1,0.512099,1.44507805556,2.14560262346
1.15,0.586873,1.55426638889,2.13565138889
1.2,0.667478,1.66173972222,1.9764845679
1.25,0.7533995,1.77559666667,0.928958333333
1.3,0.844809,1.82609388889,-1.88988765432
1.35,0.937076,1.76530666667,-7.53059675926
1.4,1.061585,1.00489472222,-11.4685861111
1.45,1.0384325,0.215613611111,-8.12147777778
1.5,1.038947,0.177407222222,-3.86663688272
1.55,1.0675875,0.0254391666667,-2.61741817901
1.6,1.045121,-0.125576111111,-1.08533563272
1.65,1.043406,-0.0916572222222,0.276204984568
1.7,1.036889,-0.0577955,0.936342361111
1.75,1.036203,0.0214851388889,1.21285435185
1.8,1.0422055,0.0764127777778,1.18338175926
