"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1877925,-0.0156255555556,151.272813611
0.1,0.1877925,6.46302513889,151.351401898
0.15,0.1847055,12.9481928333,136.332321157
0.2,0.1829905,38.9305952778,-147.846502978
0.25,7.97475,-0.0334425,-438.742452793
0.3,0.178703,-38.9793775,-143.945211451
0.35,0.179732,-12.977405,152.025433951
0.4,0.181104,-4.30684138889,130.951947994
0.45,0.1826475,0.0547847222222,67.8167637346
0.5,0.17836,0.258869722222,19.9255475309
0.55,0.197225,0.675614722222,9.10077453704
0.6,0.2495325,1.04033805556,5.71687839506
0.65,0.3092145,1.25957222222,4.27093225309
0.7,0.376957,1.42697527778,3.46038302469
0.75,0.4515595,1.58523166667,3.15369444444
0.8,0.535766,1.73796194444,3.98673981481
0.85,0.625975,1.8804975,8.720775
0.9,0.723387,2.05533222222,27.7270507716
0.95,0.8285165,3.89324055556,50.0974790123
1,0.9423925,7.34401111111,50.6327813272
1.05,1.1084045,16.5610880556,-72.1665648148
1.1,4.125261,0.2735425,-185.402933333
1.15,1.120581,-15.6457544444,-62.5510785494
1.2,1.0113355,-5.59328194444,64.1298313272
1.25,1.0044755,-1.15857777778,58.059207716
1.3,1.117151,0.712487222222,25.7149958333
1.35,1.1097765,0.293360277778,2.85949783951
1.4,1.119895,0.210849722222,-0.986707253086
1.45,1.1296705,0.161400555556,-1.28704398148
1.5,1.139103,0.108616666667,-1.02682978395
1.55,1.139103,0.0645983333333,-1.04080385802
1.6,1.1468205,0.00219138888889,-0.982155092593
1.65,1.1396175,-0.0577383333333,-0.515389259259
1.7,1.1368735,-0.0473530555556,-0.0724111111111
1.75,1.135673,-0.0375394444444,0.12132037037
