"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.1799035,0.000190555555556,0.00790805555556
0.1,0.1799035,0.000524027777778,0.00551023148148
0.15,0.1799035,0.001372,-0.00900375
0.2,0.180075,0.000762222222222,-0.0395985030864
0.25,0.180075,-0.00181027777778,-0.0755711574074
0.3,0.1802465,-0.0100994444444,-0.0422080555556
0.35,0.178703,-0.0105758333333,0.0754811728395
0.4,0.178703,-0.00190555555556,0.179175154321
0.45,0.1781885,0.0122908333333,0.203365123457
0.5,0.1805895,0.02058,0.152973765432
0.55,0.1802465,0.0228666666667,0.153132561728
0.6,0.180761,0.0532602777778,-0.00211728395062
0.65,0.191051,0.00409694444444,0.365390277778
0.7,0.179732,0.00419222222222,2.24977299383
0.75,0.179389,0.226570555556,4.10911882716
0.8,0.1997975,0.508783333333,4.22038209877
0.85,0.235641,0.703626388889,3.14601929012
0.9,0.2742285,0.809765833333,2.15184861111
0.95,0.3171035,0.890561388889,1.68890447531
1,0.363237,0.966211944444,1.54842268519
1.05,0.4134865,1.04519722222,1.47638209877
1.1,0.468195,1.11608388889,1.38750910494
1.15,0.525476,1.18011055556,1.36845354938
1.2,0.585844,1.24975861111,1.38840895062
1.25,0.650328,1.32321777778,1.27396975309
1.3,0.7180705,1.39229416667,0.793293364198
1.35,0.7897575,1.4277375,0.0179969135802
1.4,0.867104,1.38352861111,-0.525456944444
1.45,0.93296,1.26605111111,0.254868055556
1.5,0.966574,1.53254305556,-1.33315842593
1.55,1.1063465,1.41182611111,-7.24368361111
1.6,1.1519655,0.557660833333,-8.47770021605
1.65,1.133272,0.193680666667,-3.17830787037
1.7,1.1389315,0.335949444444,1.12114419753
1.75,1.1773475,0.559280555556,3.45377709877
