"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.179732,-0.018865,0.304274876543
0.1,0.1778455,0,0.196012854938
0.15,0.179732,0.0090895,0.0360467592593
0.2,0.179732,0.00133388888889,-0.0749306790123
0.25,0.179732,-0.00524027777778,-0.0461144444444
0.3,0.1792175,-0.00886083333333,0.0951507407407
0.35,0.178017,0.00181027777778,0.299489814815
0.4,0.1781885,0.0305841666667,0.494227006173
0.45,0.183848,0.029155,1.30366466049
0.5,0.1799035,0.0822247222222,3.55057932099
0.55,0.1802465,0.365009166667,6.02531373457
0.6,0.209573,0.783373888889,6.60380864198
0.65,0.2642815,1.11179638889,5.40992515432
0.7,0.326879,1.31788222222,4.09853240741
0.75,0.3966795,1.48795305556,3.37023966049
0.8,0.476084,1.64068333333,2.99431589506
0.85,0.5613195,1.78502916667,2.6025654321
0.9,0.6539295,1.92489694444,1.56663132716
0.95,0.7546,2.00683583333,-0.639102160494
1,0.8655605,1.88792916667,-3.28713626543
1.05,0.95354,1.56989194444,-4.23446203704
1.1,1.007048,1.46842111111,-5.24017191358
1.15,1.1097765,1.17010638889,-8.01545478395
1.2,1.140818,0.588626111111,-9.01101228395
1.25,1.165857,0.0705055555556,-6.26330174383
1.3,1.130871,-0.123575277778,-1.76064334877
1.35,1.1368735,0.0224665,0.478278564815
1.4,1.14219,0.0472101388889,0.567103919753
1.45,1.1440765,0.0575477777778,0.421561820988
