"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.179732,0,-0.0206011728395
0.1,0.179732,-0.000571666666667,-0.032198595679
0.15,0.179732,-0.002401,-0.0355068518519
0.2,0.179732,-0.00619305555556,-0.00424515432099
0.25,0.179046,-0.0077175,0.106213549383
0.3,0.1778455,0.00819388888889,0.1895075
0.35,0.180418,0.0139105555556,0.397625925926
0.4,0.180761,0.0121955555556,1.44991604938
0.45,0.179046,0.0888941666667,3.78003996914
0.5,0.1785315,0.383683611111,6.10619398148
0.55,0.211288,0.800809722222,6.47269583333
0.6,0.2653105,1.10817583333,5.22746820988
0.65,0.327222,1.30987888889,4.00701280864
0.7,0.3966795,1.47966388889,3.31593132716
0.75,0.4759125,1.62877361111,2.9825437963
0.8,0.560119,1.7690225,2.84085515432
0.85,0.652043,1.91689361111,2.58030219136
0.9,0.7516845,2.051483,1.91111342593
0.95,0.861273,2.11488083333,1.11655498457
1,0.966917,2.12374166667,0.559301728395
