"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,7.97475,-17.2300333333,-154.047016667
0.1,7.97475,-31.2201458333,7.39053842593
0.15,4.0945625,-25.7864541667,170.078550833
0.2,4.1082825,-4.29207333333,159.188999537
0.25,4.10228,8.47591111111,-147.823313426
0.3,7.97475,-28.3376119444,-287.045690123
0.35,0.1795605,-47.6987233333,46.9978811728
0.4,0.1781885,-15.155455,259.511418056
0.45,0.1816185,-4.30684138889,171.173832407
0.5,0.1816185,0.0129577777778,73.8120649691
0.55,0.1833335,0.0178169444444,17.2734376543
0.6,0.1802465,0.109950555556,6.41076527778
0.65,0.1812755,0.444851944444,5.7582712963
0.7,0.223636,0.808717777778,5.18141728395
0.75,0.271999,1.00194111111,3.68264490741
0.8,0.32585,1.13656861111,2.75760354938
0.85,0.3857035,1.25071138889,2.40613441358
0.9,0.4505305,1.37047555556,2.30476944444
0.95,0.523075,1.4843325,2.19048904321
1,0.599564,1.58742305556,2.07864351852
1.05,0.6813695,1.69537277778,1.79931024691
1.1,0.769349,1.79293722222,0.838359753086
1.15,0.861959,1.82552222222,-1.15729682099
1.2,0.9574845,1.73603733333,-4.09262518519
1.25,1.051295,1.37619222222,-6.38547432099
1.3,1.082508,0.973929444444,-7.50920160494
